estado americano
sentimento forte
vem antes
rio brasileiro
fruta verde
cor fria
fruto seco
ave grande
ação locomotora
som labial
desorganizado crônico
represa hídrica
maquiagem labial
vegetal roxo
duas dimensões
vida terrestre
operação policial
roupa superior
coisa tola
esgoto urbano
planta amarga
inseto colorido
bar pequeno
identidade nacional
área alagada
objeto inútil
cidade medieval
superior tolerante
confirmar algo
casa rústica
tem cabelo
queda d’água
pessoa desprezível
arrepio súbito
rota possível
faca dobrável
milho doce
desordem total
proteção externa
região tropical
situação específica
queda d’água
faz chorar
parte teatral
zombaria pública
convocação oficial
carinho afetuoso
carne assada
banho vertical
do circo
caminho elétrico
socialmente educado
acontecer junto
personagem carnavalesca
sigiloso documento
firmemente estabelecido
trocar ideias
teatro bastidores
presença física
ato ilegal
muito importante
forma geométrica
aproveitar momento
separar partes
ordem oficial
saída transporte
lugar árido
usar demais
mudança posição
sem organização
modesto natural
mês natalino
elemento distinto
espalha algo
julgamento claro
controle pessoal
esconder identidade
variado conteúdo
cor ouro
dois lados
não mole
inchaço corporal
moral elevado
tornar livre
muito animado
tarefa difícil
organização comercial
mal-estar
diversão variada
degeneração cerebral
local ensino
fora padrão
assiste evento
local fixo
divisão territorial
ato aprender
tentar não
ponto limite
sem esforço
falso argumento
não verdadeira
muita abundância
limpeza intensa
capacidade gerar
sem pagamento
sem interrupções
intencionalmente falso
reduz velocidade
dança pernambucana
efeito imediato
tragar fumaça
carro antigo
tempo depois
resposta correta
inseto saltador
jaula aves
corrida cavalo
consumido totalmente
doce gelatinoso
água sólida
parte amarela
duplicado igual
chefe militar
falar gestos
escreve quadro
açúcar sangue
touca quente
capacidade especial
combinação agradável
instrumento cordas
contra religião
pausa tempo
ordem poder
medo extremo
tratar mal
simples modesto
gelo flutuante
pessoa velha
não notar
terra cercada
enganar emocionalmente
muito famoso
representações visuais
emocional infantil
vem exterior
algo bloqueia
não morre
fruta rosada
primeiro mês
avião veloz
reserva mineral
calça denim
fruto tropical
mês férias
animal carga
mês festas
corretamente ético
corrida pequena
molho tomate
conjunto itens
fruta peluda
base cimento
língua toque
luz concentrada
tempo livre
fruta cítrica
fiel amigo
danado travesso
fruta cítrica
sem restrições
escreve aula
elogio divino
ganho financeiro
iluminação teto
animal esperto
dirige orquestra
extremidade braço
água salgada
médico mamas
criança feminina
local compras
transporte subterrâneo
combinado diverso
fruta vermelha
inseto pequeno
sexo feminino
parede externa
força corporal
começo vida
originário local
não artificial
quem navega
algo essencial
filho filho
altura posição
classe alta
causa nojo
repulsa extrema
sistema nomes
saudade antiga
reza dias
pequena diferença
fim desejado
coisa material
indecente ofensivo
esconder informação
dia anterior
se aproveita
completamente diferente
organização correta
satisfação pessoal
coragem ação
bater mãos
familiar direto
pegar peixes
médico infantil
vaso sanitário
arte colorida
seres verdes
mente humana
propaganda comercial
bom padrão
tornar apto
valor subjetivo
indiferente escolha
muito próximo
desejar algo
levantar dúvida
ilusão sonho
marca passagem
menor tamanho
afirmar novamente
consideração alheia
corrigir erro
animal chifre
separação brusca
espiga milho
pulo alto
muito incrível
sentido palavra
união feminina
valor menor
grandioso elevado
pouco perceptível
madeira fina
comunicação mental
passagem cronológica
fruta vermelha
parte superior
caminho feito
jogo palavras
passagem subterrânea
patriota extremo
muito rápido
centro corpo
extremidade dedo
líquido corporal
ave necrófaga
sociedade perfeita
fruta roxa
animal leiteiro
recipiente plantas
cera acesa
tecido macio
roupa longa
instrumento cordas
sons humanos
jogo tabuleiro
acessório ombros
produto cabelo
curioso demais
autoridade local
insultar alguém
selvagem rústico
instrumento percussão
raiva intensa
cuidado especial
ponto superior
voltar zero
moeda africana
aproximação imagem
